date,tem,hum
2022-09-15 11:00,26.8,53
2022-09-15 12:00,28.4,51
2022-09-15 13:00,28.9,52
2022-09-15 14:00,29.3,54
2022-09-15 15:00,29.5,54
2022-09-15 16:00,28.5,57
2022-09-15 17:00,28.2,60
2022-09-15 18:00,27.1,62
2022-09-15 19:00,26.5,64
2022-09-15 20:00,25.9,66
2022-09-15 21:00,25.3,67
2022-09-15 22:00,24.7,68
2022-09-15 23:00,23.8,70
2022-09-16 0:00,23.0,72
2022-09-16 1:00,22.3,73
2022-09-16 2:00,21.7,74
2022-09-16 3:00,21.4,75
2022-09-16 4:00,21.6,75
2022-09-16 5:00,21.3,76
2022-09-16 6:00,21.2,78
2022-09-16 7:00,21.6,77
2022-09-16 8:00,23.7,70
2022-09-16 9:00,24.4,69
2022-09-16 10:00,26.5,65
2022-09-16 11:00,27.9,62
2022-09-16 12:00,28.7,59
2022-09-16 13:00,30.4,56
2022-09-16 14:00,31.0,56
2022-09-16 15:00,29.3,61
2022-09-16 16:00,28.7,64
2022-09-16 17:00,28.0,66
2022-09-16 18:00,27.5,68
2022-09-16 19:00,27.1,69
2022-09-16 20:00,26.6,71
2022-09-16 21:00,26.3,73
2022-09-16 22:00,25.0,83
2022-09-16 23:00,24.4,91
2022-09-17 0:00,24.2,91
2022-09-17 1:00,24.0,91
2022-09-17 2:00,23.6,92
2022-09-17 3:00,23.5,91
2022-09-17 4:00,23.4,91
2022-09-17 5:00,23.5,89
2022-09-17 6:00,23.4,90
2022-09-17 7:00,23.4,91
2022-09-17 8:00,25.7,78
2022-09-17 9:00,27.2,71
2022-09-17 10:00,29.4,62
2022-09-17 11:00,30.2,61
2022-09-17 12:00,31.0,53
2022-09-17 13:00,32.1,48
2022-09-17 14:00,31.8,53
2022-09-17 15:00,32.2,51
2022-09-17 16:00,32.6,46
2022-09-17 17:00,32.1,50
2022-09-17 18:00,29.5,69
2022-09-17 19:00,27.4,75
2022-09-17 20:00,26.6,77
2022-09-17 21:00,25.9,78
2022-09-17 22:00,25.4,79
2022-09-17 23:00,25.2,80
2022-09-18 0:00,24.8,82
2022-09-18 1:00,25.0,81
2022-09-18 2:00,24.9,82
2022-09-18 3:00,24.2,85
2022-09-18 4:00,24.0,86
2022-09-18 5:00,23.9,87
2022-09-18 6:00,23.9,87
2022-09-18 7:00,23.9,88
2022-09-18 8:00,24.8,84
2022-09-18 9:00,25.7,83
2022-09-18 10:00,26.9,77
2022-09-18 11:00,28.1,72
2022-09-18 12:00,30.3,63
2022-09-18 13:00,31.7,57
2022-09-18 14:00,31.5,55
2022-09-18 15:00,32.0,56
2022-09-18 16:00,32.5,56
2022-09-18 17:00,31.1,62
2022-09-18 18:00,29.7,64
2022-09-18 19:00,28.8,67
2022-09-18 20:00,28.1,68
2022-09-18 21:00,27.2,67
2022-09-18 22:00,26.6,66
2022-09-18 23:00,26.3,66
2022-09-19 0:00,25.7,70
2022-09-19 1:00,25.0,72
2022-09-19 2:00,24.7,71
2022-09-19 3:00,24.5,71
2022-09-19 4:00,24.3,71
2022-09-19 5:00,24.6,70
2022-09-19 6:00,24.4,72
2022-09-19 7:00,24.6,72
2022-09-19 8:00,25.8,68
2022-09-19 9:00,26.5,64
2022-09-19 10:00,28.5,57
2022-09-19 11:00,28.9,58
2022-09-19 12:00,28.6,57
2022-09-19 13:00,28.7,53
2022-09-19 14:00,29.6,48
2022-09-19 15:00,29.0,48
2022-09-19 16:00,28.2,50
2022-09-19 17:00,26.1,53
2022-09-19 18:00,24.7,54
2022-09-19 19:00,23.5,56
2022-09-19 20:00,21.9,56
2022-09-19 21:00,20.6,58
2022-09-19 22:00,19.1,65
2022-09-19 23:00,18.7,65
2022-09-20 0:00,17.7,68
2022-09-20 1:00,17.5,68
2022-09-20 2:00,16.7,71
2022-09-20 3:00,16.5,74
